siempre	1012426,ADVERB
disputa	12728,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
diarias	12673,ADJECTIVE
funeral	12639,ADJECTIVE,NOUN,SINGULAR
frontal	12630,ADJECTIVE,NOUN,SINGULAR
probado	12615,ADJECTIVE,PARTICIPLE
callada	12574,ADJECTIVE,PARTICIPLE
ansioso	12561,ADJECTIVE
aliviar	12527,VERB
deducir	12506,VERB
supremo	12505,ADJECTIVE
duquesa	12501,NOUN,SINGULAR
dedicar	12485,VERB
hoguera	12415,NOUN,SINGULAR
textura	12371,NOUN,SINGULAR
bloqueo	12359,NOUN,VERB,SINGULAR
dibujar	12331,VERB
limitar	12313,VERB
acogida	12290,NOUN,PARTICIPLE,SINGULAR
cemento	12275,NOUN,VERB,SINGULAR
aislado	12242,ADJECTIVE,PARTICIPLE
diablos	12150,INTERJECTION,ADVERB,NOUN,PLURAL
despido	12009,NOUN,VERB,SINGULAR
alterar	11950,VERB
opuesta	11931,ADJECTIVE,PARTICIPLE
vanidad	11898,NOUN,SINGULAR
cazador	11865,ADJECTIVE,NOUN,SINGULAR
glucosa	11865,NOUN,SINGULAR
amplios	11846,ADJECTIVE
timidez	11823,NOUN,SINGULAR
ajedrez	11736,NOUN,SINGULAR
ausente	11706,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
espanto	11659,NOUN,VERB,SINGULAR
campana	11565,NOUN,SINGULAR
sublime	11523,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
romance	11480,ADJECTIVE,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
temblor	11427,NOUN,SINGULAR
alejada	11424,ADJECTIVE,PARTICIPLE
forzada	11399,ADJECTIVE,PARTICIPLE
literal	11394,ADJECTIVE,ADVERB
hechizo	11362,ADJECTIVE,NOUN,VERB,SINGULAR
apuesta	11358,NOUN,VERB,ADJECTIVE,PARTICIPLE,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
tributo	11343,NOUN,VERB,SINGULAR
pesados	11276,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
taberna	11242,NOUN,SINGULAR
ocultos	11237,ADJECTIVE
caricia	11218,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
amplias	11178,ADJECTIVE
acusado	11148,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
citados	11115,ADJECTIVE,PARTICIPLE
vigilar	11103,VERB
equidad	11087,NOUN,SINGULAR
condesa	11078,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
absurda	11071,ADJECTIVE
tristes	11071,ADJECTIVE
valiosa	11014,ADJECTIVE
extenso	10998,ADJECTIVE
confusa	10945,ADJECTIVE
empiezo	10914,NOUN,VERB,SINGULAR
ubicado	10893,ADJECTIVE,PARTICIPLE
patente	10842,ADJECTIVE,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
abrazar	10784,VERB
infeliz	10783,ADJECTIVE
tablero	10713,NOUN,SINGULAR
docente	10664,ADJECTIVE,NOUN,SINGULAR
cuernos	10657,ADVERB,NOUN,PLURAL
enferma	10633,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
captura	10549,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
aislada	10531,ADJECTIVE,PARTICIPLE
indicio	10512,NOUN,VERB,SINGULAR
aprecio	10507,NOUN,VERB,SINGULAR
llanura	10487,NOUN,SINGULAR
charlar	10469,VERB
enteras	10454,ADJECTIVE,VERB
dorados	10420,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
navegar	10407,VERB
difunto	10387,ADJECTIVE
calidez	10385,NOUN,SINGULAR
agotada	10362,ADJECTIVE,PARTICIPLE
dividir	10350,VERB
decente	10309,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
cuchara	10308,NOUN,VERB,3PS,INFLECTED_FORM,SINGULAR,SUBJ
abanico	10304,NOUN,VERB,SINGULAR
tenedor	10300,NOUN,SINGULAR
poblado	10279,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
mezclar	10255,VERB
cigarro	10250,NOUN,SINGULAR
urbanas	10243,ADJECTIVE
tobillo	10223,NOUN,SINGULAR
acordar	10206,VERB
admirar	10205,VERB
amoroso	10198,ADJECTIVE
juguete	10174,NOUN,SINGULAR
atrapar	10170,VERB
deprisa	10160,ADVERB
enojado	10144,ADJECTIVE,PARTICIPLE
rigidez	10115,NOUN,SINGULAR
cortado	10091,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
inusual	10076,ADJECTIVE
retener	10061,VERB
amables	10028,ADJECTIVE
gradual	9989,ADJECTIVE,NOUN,SINGULAR
reunido	9989,ADJECTIVE,PARTICIPLE
rivales	9900,ADJECTIVE,NOUN,PLURAL
redonda	9891,NOUN,ADJECTIVE,SINGULAR
cascada	9879,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
rebelde	9877,ADJECTIVE,NOUN,SINGULAR
espiral	9874,ADJECTIVE,NOUN,SINGULAR
camilla	9870,NOUN,SINGULAR
lejanos	9868,ADJECTIVE
mensual	9837,ADJECTIVE
barriga	9830,NOUN,SINGULAR
libreta	9830,NOUN,SINGULAR
sobrina	9804,NOUN,SINGULAR
agotado	9796,ADJECTIVE,PARTICIPLE
gruesas	9757,ADJECTIVE,NOUN,PLURAL
ahorrar	9751,VERB
ajustar	9728,VERB
meditar	9713,VERB
ansiosa	9689,ADJECTIVE
retomar	9668,VERB
puntual	9595,ADJECTIVE
listado	9567,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
grabado	9562,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
bonitas	9544,ADJECTIVE
constar	9538,VERB
gerente	9533,NOUN,SINGULAR
sanidad	9530,NOUN,SINGULAR
docenas	9525,ADJECTIVE,NOUN,PLURAL
afectos	9515,ADJECTIVE,NOUN,PLURAL
animado	9512,ADJECTIVE,PARTICIPLE
ilustre	9502,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
budismo	9493,NOUN,SINGULAR
tomadas	9464,ADJECTIVE,PARTICIPLE
vendido	9421,NOUN,PARTICIPLE,SINGULAR
premisa	9410,NOUN,SINGULAR
honesto	9406,ADJECTIVE,VERB
escasos	9390,ADJECTIVE
establo	9387,NOUN,VERB,SINGULAR
nominal	9377,ADJECTIVE
sugerir	9367,VERB
fomento	9358,NOUN,VERB,SINGULAR
colgado	9295,ADJECTIVE,PARTICIPLE
sucesor	9286,ADJECTIVE,NOUN,SINGULAR
suprema	9285,NOUN,ADJECTIVE,SINGULAR
tumbado	9271,ADJECTIVE,PARTICIPLE
firmado	9251,ADJECTIVE,PARTICIPLE
lanzado	9248,ADJECTIVE,PARTICIPLE
pasivos	9187,ADJECTIVE,NOUN,PLURAL
cordero	9170,NOUN,SINGULAR
pesadas	9166,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
brindar	9157,VERB
agarrar	9139,VERB
nativos	9136,ADJECTIVE,NOUN,PLURAL
muertas	9125,ADJECTIVE,PARTICIPLE
ubicada	9124,ADJECTIVE,PARTICIPLE
modales	9119,NOUN,ADJECTIVE,PLURAL
aprobar	9101,VERB
someter	9064,VERB
infarto	9058,NOUN,VERB,SINGULAR
balanza	9035,NOUN,SINGULAR
escasas	9026,ADJECTIVE
senador	9018,NOUN,SINGULAR
apuntar	9008,VERB
lamento	9000,NOUN,VERB,SINGULAR
quietud	8958,NOUN,SINGULAR
agitada	8932,ADJECTIVE,PARTICIPLE
traidor	8914,ADJECTIVE,NOUN,SINGULAR
comarca	8912,NOUN,SINGULAR
totales	8901,ADJECTIVE,NOUN,PLURAL
respiro	8893,NOUN,VERB,SINGULAR
vomitar	8891,VERB
lujuria	8889,NOUN,SINGULAR
otorgar	8886,VERB
exitoso	8875,ADJECTIVE
sutiles	8870,ADJECTIVE
cobarde	8848,ADJECTIVE,NOUN,SINGULAR
frescas	8840,ADJECTIVE
activar	8834,VERB
punzada	8819,NOUN,PARTICIPLE,SINGULAR
forzado	8818,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
pintado	8814,NOUN,PARTICIPLE,SINGULAR
arteria	8810,NOUN,SINGULAR
acierto	8806,NOUN,VERB,SINGULAR
crianza	8760,NOUN,SINGULAR
malicia	8759,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
aspirar	8739,VERB
limpias	8731,ADJECTIVE,NOUN,VERB,PLURAL
padecer	8692,VERB
adaptar	8688,VERB
empiece	8685,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
deseada	8678,ADJECTIVE,PARTICIPLE
relleno	8674,ADJECTIVE,NOUN,VERB,SINGULAR
repleto	8668,ADJECTIVE,VERB
honrado	8641,ADJECTIVE,PARTICIPLE
encajar	8623,VERB
celeste	8618,ADJECTIVE,NOUN,SINGULAR
pizarra	8557,NOUN,SINGULAR
inercia	8539,NOUN,SINGULAR
puestas	8522,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
invitar	8512,VERB
chispas	8503,ADJECTIVE,NOUN,VERB,PLURAL
exitosa	8502,ADJECTIVE
enteros	8496,ADJECTIVE,NOUN,PLURAL
delirio	8473,NOUN,SINGULAR
doradas	8467,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
ofrenda	8459,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
clavada	8422,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
animada	8417,ADJECTIVE,PARTICIPLE
diversa	8404,ADJECTIVE
corrido	8397,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
atentos	8343,ADJECTIVE
deleite	8341,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
frescos	8326,ADJECTIVE,NOUN,PLURAL
crueles	8324,ADJECTIVE
desfile	8305,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
obligar	8268,VERB
ocultas	8263,ADJECTIVE,VERB
indagar	8252,VERB
vencido	8211,ADJECTIVE,PARTICIPLE
gruesos	8190,ADJECTIVE,NOUN,PLURAL
codicia	8139,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
apretar	8129,VERB
sujetas	8105,ADJECTIVE,VERB
cordial	8100,ADJECTIVE
plancha	8071,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
pisadas	8051,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
armadas	8034,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
zumbido	8030,NOUN,SINGULAR
brillar	8019,VERB
apuesto	7921,ADJECTIVE,NOUN,VERB,PARTICIPLE,INFLECTED_FORM,PAST_PART,SINGULAR
condado	7921,NOUN,SINGULAR
cortada	7921,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
cordura	7914,NOUN,SINGULAR
cepillo	7903,NOUN,VERB,SINGULAR
perejil	7883,NOUN,SINGULAR
teclado	7854,NOUN,SINGULAR
agitado	7834,ADJECTIVE,PARTICIPLE
vampiro	7834,NOUN,SINGULAR
modesto	7820,ADJECTIVE
agraria	7819,ADJECTIVE
procura	7804,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
limpios	7800,ADJECTIVE
juzgado	7789,NOUN,PARTICIPLE,SINGULAR
palmada	7735,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
astucia	7729,NOUN,SINGULAR
activas	7728,ADJECTIVE,VERB
gatillo	7719,NOUN,VERB,SINGULAR
notario	7719,NOUN,VERB,SINGULAR
arcilla	7713,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
empujar	7708,VERB
semanal	7677,ADJECTIVE
torpeza	7670,NOUN,SINGULAR
repleta	7668,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
colapso	7662,NOUN,VERB,SINGULAR
cojones	7652,INTERJECTION,ADVERB,NOUN,PLURAL
proveer	7638,VERB
matanza	7597,NOUN,SINGULAR
euforia	7589,NOUN,SINGULAR
insulto	7570,NOUN,VERB,SINGULAR
declive	7555,NOUN,SINGULAR
chaleco	7549,NOUN,SINGULAR
confort	7543,NOUN,SINGULAR
plantar	7532,VERB,ADJECTIVE
citadas	7515,ADJECTIVE,PARTICIPLE
cavidad	7501,NOUN,SINGULAR
burbuja	7492,NOUN,SINGULAR
asfalto	7490,NOUN,VERB,SINGULAR
disfraz	7484,NOUN,SINGULAR
apagado	7475,ADJECTIVE,PARTICIPLE
famosas	7466,ADJECTIVE,NOUN,PLURAL
hormona	7458,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
mentido	7443,ADJECTIVE,PARTICIPLE
esclava	7430,NOUN,SINGULAR
francos	7399,ADJECTIVE,NOUN,PLURAL
vinagre	7396,NOUN,SINGULAR
arrojar	7394,VERB
socorro	7379,NOUN,INTERJECTION,VERB,SINGULAR
estimar	7349,VERB
capucha	7347,NOUN,SINGULAR
inversa	7338,ADJECTIVE
taxista	7338,NOUN,SINGULAR
mesilla	7290,NOUN,SINGULAR
carente	7286,ADJECTIVE
alegres	7269,ADJECTIVE,VERB,INFLECTED_FORM,SUBJ
sensato	7263,ADJECTIVE
devenir	7212,VERB,NOUN,SINGULAR
impresa	7174,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
tumbada	7158,ADJECTIVE,PARTICIPLE
escolta	7153,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
subasta	7153,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
creados	7116,ADJECTIVE,PARTICIPLE
neutral	7112,ADJECTIVE
asentir	7110,VERB
agresor	7103,NOUN,SINGULAR
sheriff	7073,NOUN,SINGULAR
ingenua	7055,NOUN,ADJECTIVE,SINGULAR
audacia	7029,NOUN,SINGULAR
llenado	7028,NOUN,PARTICIPLE,SINGULAR
atuendo	7022,NOUN,SINGULAR
materno	7000,ADJECTIVE
silbido	6994,NOUN,SINGULAR
reclamo	6973,NOUN,VERB,SINGULAR
desviar	6971,VERB
influjo	6971,NOUN,SINGULAR
palanca	6948,NOUN,SINGULAR
injusta	6941,ADJECTIVE
anchura	6933,NOUN,SINGULAR
lejanas	6920,ADJECTIVE
caverna	6904,NOUN,SINGULAR
quiebra	6903,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
casados	6892,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
tolerar	6884,VERB
racismo	6882,NOUN,SINGULAR
calzado	6835,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
enojada	6833,ADJECTIVE,PARTICIPLE
educado	6830,ADJECTIVE,PARTICIPLE
tercios	6826,ADJECTIVE,NOUN,PLURAL
invento	6820,NOUN,VERB,SINGULAR
redondo	6818,ADJECTIVE
escalar	6811,VERB,ADJECTIVE
medalla	6790,NOUN,SINGULAR
aptitud	6783,NOUN,SINGULAR
ombligo	6768,NOUN,SINGULAR
ahogado	6744,NOUN,PARTICIPLE,SINGULAR
atacado	6710,ADJECTIVE,PARTICIPLE
alambre	6705,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
creadas	6704,ADJECTIVE,PARTICIPLE
comando	6703,NOUN,VERB,SINGULAR
modesta	6696,ADJECTIVE
excluir	6676,VERB
letrero	6667,NOUN,SINGULAR
grabada	6656,ADJECTIVE,PARTICIPLE
pegados	6628,ADJECTIVE,PARTICIPLE
acercar	6617,VERB
espesor	6598,NOUN,SINGULAR
anormal	6576,ADJECTIVE
oriente	6570,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
monitor	6562,NOUN,SINGULAR
seguras	6512,ADJECTIVE,VERB
peruana	6502,NOUN,ADJECTIVE,SINGULAR
vigilia	6500,NOUN,SINGULAR
mineros	6467,ADJECTIVE,NOUN,PLURAL
ceguera	6456,NOUN,SINGULAR
variada	6444,ADJECTIVE,PARTICIPLE
apostar	6443,VERB
lucidez	6436,NOUN,SINGULAR
elegida	6435,NOUN,PARTICIPLE,SINGULAR
remonta	6425,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
carrito	6420,NOUN,SINGULAR
portazo	6410,NOUN,SINGULAR
manteca	6399,NOUN,SINGULAR
paladar	6394,NOUN,SINGULAR
montura	6391,NOUN,SINGULAR
peruano	6372,ADJECTIVE,NOUN,SINGULAR
cochero	6371,NOUN,SINGULAR
fluidez	6339,NOUN,SINGULAR
robusto	6319,ADJECTIVE
sembrar	6316,VERB
enfriar	6309,VERB
enfocar	6295,VERB
temible	6295,ADJECTIVE
estupor	6290,NOUN,SINGULAR
resumir	6290,VERB
ganador	6287,ADJECTIVE,NOUN,SINGULAR
masacre	6278,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
estirar	6273,VERB
calzada	6272,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
colgada	6272,ADJECTIVE,PARTICIPLE
abarcar	6260,VERB
educada	6256,ADJECTIVE,PARTICIPLE
rabillo	6247,NOUN,SINGULAR
repasar	6215,VERB
razonar	6206,VERB
reposar	6206,VERB
crucero	6203,NOUN,SINGULAR
estreno	6187,NOUN,VERB,SINGULAR
tatuaje	6185,NOUN,SINGULAR
palomas	6179,ADJECTIVE,NOUN,PLURAL
renovar	6179,VERB
expreso	6177,NOUN,VERB,SINGULAR
ligeras	6175,ADJECTIVE
granito	6143,NOUN,SINGULAR
bonitos	6098,ADJECTIVE,NOUN,PLURAL
oyentes	6091,ADJECTIVE,NOUN,PLURAL
ingenuo	6090,ADJECTIVE,NOUN,SINGULAR
verdugo	6088,NOUN,SINGULAR
padrino	6071,NOUN,SINGULAR
apagada	6062,ADJECTIVE,PARTICIPLE
centrar	6042,VERB
cortejo	6030,NOUN,VERB,SINGULAR
diverso	6027,ADJECTIVE
intacto	6023,ADJECTIVE
seducir	6014,VERB
forzosa	6001,ADJECTIVE
vacunas	5995,ADJECTIVE,NOUN,VERB,PLURAL
avisado	5985,ADJECTIVE,PARTICIPLE
estante	5979,ADJECTIVE,NOUN,SINGULAR
drenaje	5969,NOUN,SINGULAR
neblina	5942,NOUN,SINGULAR
budista	5938,ADJECTIVE,NOUN,SINGULAR
dichoso	5925,ADJECTIVE
intacta	5923,ADJECTIVE
nasales	5920,ADJECTIVE,NOUN,PLURAL
soltera	5917,NOUN,ADJECTIVE,SINGULAR
capullo	5916,NOUN,SINGULAR
pillado	5902,ADJECTIVE,PARTICIPLE
burlona	5890,NOUN,ADJECTIVE,SINGULAR
revivir	5887,VERB
chileno	5886,ADJECTIVE,NOUN,SINGULAR
malvado	5886,ADJECTIVE
fluidos	5885,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
planear	5882,VERB
parados	5870,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
tortuga	5828,NOUN,SINGULAR
caracol	5811,NOUN,SINGULAR
parcela	5806,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
pulsera	5797,NOUN,SINGULAR
sujetar	5795,VERB
derivar	5780,VERB
crujido	5772,NOUN,PARTICIPLE,SINGULAR
solares	5766,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
arresto	5762,NOUN,VERB,SINGULAR
paterna	5744,ADJECTIVE
rallado	5721,ADJECTIVE,PARTICIPLE
mediana	5717,NOUN,ADJECTIVE,SINGULAR
dotados	5714,ADJECTIVE,PARTICIPLE
ballena	5713,NOUN,SINGULAR
molesto	5712,ADJECTIVE,VERB
cazuela	5697,NOUN,SINGULAR
folleto	5694,NOUN,SINGULAR
potasio	5694,NOUN,SINGULAR
milenio	5686,NOUN,SINGULAR
escriba	5680,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
invadir	5675,VERB
muelles	5649,ADJECTIVE,NOUN,PLURAL
turista	5632,NOUN,SINGULAR
helados	5626,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
chilena	5615,NOUN,ADJECTIVE,SINGULAR
siembra	5607,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
tomados	5598,ADJECTIVE,PARTICIPLE
inducir	5594,VERB
habitar	5572,VERB
ligeros	5570,ADJECTIVE
eternos	5543,ADJECTIVE
inserta	5513,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
sureste	5512,NOUN,SINGULAR
violeta	5496,ADJECTIVE,NOUN,SINGULAR
heroico	5488,ADJECTIVE
desleal	5483,ADJECTIVE
altitud	5470,NOUN,SINGULAR
mendigo	5470,NOUN,VERB,SINGULAR
textual	5459,ADJECTIVE
sollozo	5452,NOUN,VERB,SINGULAR
vaquero	5451,ADJECTIVE,NOUN,SINGULAR
tajante	5443,ADJECTIVE
debidas	5441,ADJECTIVE,PARTICIPLE
solidez	5435,NOUN,SINGULAR
estrado	5429,NOUN,SINGULAR
genuino	5407,ADJECTIVE
paradas	5407,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
baratos	5401,ADJECTIVE
tendido	5382,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
tumulto	5381,NOUN,SINGULAR
firmada	5375,ADJECTIVE,PARTICIPLE
remotos	5340,ADJECTIVE
limosna	5339,NOUN,SINGULAR
costura	5315,NOUN,SINGULAR
pantano	5311,NOUN,SINGULAR
impreso	5309,ADJECTIVE,PARTICIPLE
marinas	5298,ADJECTIVE,NOUN,VERB,PLURAL
mediano	5288,ADJECTIVE
emblema	5282,NOUN,SINGULAR
carreta	5280,NOUN,SINGULAR
estampa	5279,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
gastado	5279,ADJECTIVE,PARTICIPLE
rosario	5266,NOUN,SINGULAR
grosero	5256,ADJECTIVE
trazado	5255,NOUN,PARTICIPLE,SINGULAR
estirpe	5249,NOUN,SINGULAR
recabar	5241,VERB
pagados	5238,ADJECTIVE,PARTICIPLE
tocador	5236,NOUN,SINGULAR
laderas	5226,ADJECTIVE,NOUN,PLURAL
carisma	5224,NOUN,SINGULAR
erguida	5215,ADJECTIVE,PARTICIPLE
aplauso	5214,NOUN,SINGULAR
vencida	5189,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
follaje	5187,NOUN,SINGULAR
insecto	5186,NOUN,SINGULAR
cruzada	5183,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
mitigar	5176,VERB
genuina	5169,ADJECTIVE
mascota	5153,NOUN,SINGULAR
galaxia	5132,NOUN,SINGULAR
inmerso	5130,ADJECTIVE
litigio	5102,NOUN,SINGULAR
montado	5088,ADJECTIVE,PARTICIPLE
afilada	5084,ADJECTIVE,PARTICIPLE
vacilar	5075,VERB
exceder	5057,VERB
pericia	5057,NOUN,SINGULAR
mineral	5055,ADJECTIVE,NOUN,SINGULAR
tribuna	5054,NOUN,SINGULAR
abatido	5028,ADJECTIVE,PARTICIPLE
divinas	5028,ADJECTIVE,VERB
autismo	5027,NOUN,SINGULAR
potable	5016,ADJECTIVE
quemado	5011,ADJECTIVE,PARTICIPLE
notorio	5001,ADJECTIVE
referir	5001,VERB
costoso	4996,ADJECTIVE
palidez	4989,NOUN,SINGULAR
inverso	4981,ADJECTIVE
honesta	4973,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
pecador	4971,ADJECTIVE,NOUN,SINGULAR
cruzado	4962,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
motivar	4957,VERB
vecinas	4957,ADJECTIVE,NOUN,PLURAL
asociar	4956,VERB
realeza	4946,NOUN,SINGULAR
bendita	4944,ADJECTIVE,PARTICIPLE
cacique	4944,NOUN,SINGULAR
pintada	4929,NOUN,PARTICIPLE,SINGULAR
nadando	4928,ADJECTIVE,VERB,INFLECTED_FORM,PRES_PART
ventura	4925,NOUN,ADJECTIVE,SINGULAR
cinismo	4924,NOUN,SINGULAR
forzoso	4912,ADJECTIVE
abogada	4895,NOUN,PARTICIPLE,SINGULAR
robusta	4892,ADJECTIVE
dichosa	4883,ADJECTIVE
estuche	4881,NOUN,SINGULAR
saltado	4879,ADJECTIVE,PARTICIPLE
resorte	4875,NOUN,SINGULAR
cabildo	4873,NOUN,SINGULAR
casilla	4869,NOUN,SINGULAR
vocales	4868,ADJECTIVE,NOUN,PLURAL
invocar	4860,VERB
marinos	4858,ADJECTIVE,NOUN,PLURAL
guarida	4850,NOUN,PARTICIPLE,SINGULAR
merecer	4832,VERB
ofender	4823,VERB
espinal	4818,ADJECTIVE
maligno	4817,ADJECTIVE,NOUN,SINGULAR
diarrea	4800,NOUN,SINGULAR
colosal	4796,ADJECTIVE
quemada	4777,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
sueltos	4774,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
angular	4772,ADJECTIVE,VERB
remover	4765,VERB
canasta	4757,NOUN,SINGULAR
sueltas	4756,ADJECTIVE,NOUN,PARTICIPLE,VERB,PLURAL
carecer	4742,VERB
enemiga	4740,NOUN,ADJECTIVE,SINGULAR
feroces	4736,ADJECTIVE
descaro	4728,NOUN,VERB,SINGULAR
noreste	4726,NOUN,SINGULAR
soltura	4722,NOUN,SINGULAR
alargar	4712,VERB
agudeza	4705,NOUN,SINGULAR
talante	4689,NOUN,SINGULAR
festivo	4678,ADJECTIVE,NOUN,SINGULAR
peinado	4676,NOUN,PARTICIPLE,SINGULAR
griegas	4669,ADJECTIVE,NOUN,PLURAL
eternas	4655,ADJECTIVE
soltero	4651,ADJECTIVE,NOUN,SINGULAR
arbusto	4637,NOUN,SINGULAR
vaginal	4626,ADJECTIVE
trivial	4624,ADJECTIVE
capataz	4623,NOUN,SINGULAR
calmada	4622,ADJECTIVE,PARTICIPLE
egipcio	4613,ADJECTIVE,NOUN,SINGULAR
perrito	4605,NOUN,SINGULAR
regalar	4604,VERB
mosaico	4587,ADJECTIVE,NOUN,SINGULAR
pradera	4574,NOUN,SINGULAR
cerrojo	4564,NOUN,SINGULAR
sumario	4562,ADJECTIVE,NOUN,VERB,SINGULAR
incidir	4560,VERB
arsenal	4555,NOUN,SINGULAR
digerir	4553,VERB
forense	4552,ADJECTIVE,NOUN,SINGULAR
relucir	4548,VERB
figurar	4545,VERB
sacudir	4531,VERB
divinos	4511,ADJECTIVE
delicia	4506,NOUN,SINGULAR
latente	4503,ADJECTIVE
milicia	4500,NOUN,SINGULAR
remitir	4491,VERB
malvada	4485,ADJECTIVE
ternera	4475,NOUN,SINGULAR
borrosa	4467,ADJECTIVE
fiables	4459,ADJECTIVE
peritos	4457,ADJECTIVE,NOUN,PLURAL
hornear	4446,VERB
calmado	4441,ADJECTIVE,PARTICIPLE
honrada	4430,ADJECTIVE,PARTICIPLE
nazismo	4419,NOUN,SINGULAR
soslayo	4419,ADJECTIVE,VERB
peluche	4410,NOUN,SINGULAR
debatir	4409,VERB
vocablo	4409,NOUN,SINGULAR
camello	4402,NOUN,VERB,SINGULAR
litoral	4400,ADJECTIVE,NOUN,SINGULAR
nitidez	4400,NOUN,SINGULAR
galleta	4392,NOUN,SINGULAR
infante	4389,NOUN,SINGULAR
brindis	4385,NOUN,SINGULAR
cobrado	4376,ADJECTIVE,PARTICIPLE
esponja	4361,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
