tiempo	1498128,NOUN,SINGULAR
claves	12758,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
cumbre	12753,NOUN,ADJECTIVE,SINGULAR
aborto	12682,NOUN,VERB,SINGULAR
arroyo	12681,NOUN,VERB,SINGULAR
brecha	12665,NOUN,SINGULAR
callar	12638,VERB
bodega	12636,NOUN,SINGULAR
linaje	12625,NOUN,SINGULAR
calmar	12621,VERB
garaje	12600,NOUN,SINGULAR
sujeta	12525,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
helada	12446,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
enfado	12394,NOUN,VERB,SINGULAR
diente	12380,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
barato	12370,ADJECTIVE,VERB
mesita	12367,NOUN,SINGULAR
creada	12282,ADJECTIVE,PARTICIPLE
variar	12265,VERB
velada	12251,NOUN,PARTICIPLE,SINGULAR
operar	12216,VERB
grueso	12201,ADJECTIVE,NOUN,SINGULAR
fraude	12101,NOUN,SINGULAR
masiva	12014,ADJECTIVE
tejado	11993,NOUN,PARTICIPLE,SINGULAR
dulces	11988,ADJECTIVE,NOUN,PLURAL
oleada	11826,NOUN,PARTICIPLE,SINGULAR
suelto	11818,ADJECTIVE,NOUN,PARTICIPLE,VERB,INFLECTED_FORM,PAST_PART,SINGULAR
elevar	11813,VERB
caudal	11808,NOUN,ADJECTIVE,SINGULAR
pegado	11694,ADJECTIVE,PARTICIPLE
abarca	11660,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
nervio	11638,NOUN,SINGULAR
cortas	11628,ADJECTIVE,NOUN,VERB,PLURAL
jurado	11575,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
gastar	11547,VERB
cogido	11460,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
avisar	11453,VERB
casual	11401,ADJECTIVE
negado	11396,ADJECTIVE,PARTICIPLE
escape	11380,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
amargo	11377,ADJECTIVE,NOUN,VERB,SINGULAR
tierno	11346,ADJECTIVE
soneto	11320,NOUN,SINGULAR
trance	11305,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
hembra	11205,NOUN,SINGULAR
melena	11182,NOUN,SINGULAR
morada	11152,NOUN,PARTICIPLE,ADJECTIVE,SINGULAR
deriva	11138,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
hostil	11138,ADJECTIVE
criado	11106,NOUN,PARTICIPLE,SINGULAR
bajado	11066,ADJECTIVE,PARTICIPLE
unidas	10991,ADJECTIVE,PARTICIPLE
ajenas	10983,ADJECTIVE
masaje	10827,NOUN,SINGULAR
calcio	10823,NOUN,SINGULAR
primos	10819,ADJECTIVE,NOUN,PLURAL
gratis	10750,ADJECTIVE,ADVERB
pegada	10721,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
imitar	10708,VERB
posada	10674,NOUN,PARTICIPLE,SINGULAR
aporte	10672,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
huerto	10623,NOUN,SINGULAR
pasiva	10611,ADJECTIVE
prenda	10584,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
pijama	10539,NOUN,SINGULAR
casita	10400,NOUN,SINGULAR
vecina	10358,NOUN,ADJECTIVE,SINGULAR
trauma	10306,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
sereno	10256,ADJECTIVE,NOUN,VERB,SINGULAR
remoto	10239,ADJECTIVE
siesta	10229,NOUN,SINGULAR
tierna	10225,ADJECTIVE
serios	10209,ADJECTIVE
ligado	10131,NOUN,PARTICIPLE,SINGULAR
severo	10118,ADJECTIVE
acorde	10100,ADJECTIVE,NOUN,SINGULAR
colgar	10079,VERB
bigote	10032,NOUN,SINGULAR
amarga	10006,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
laguna	9903,NOUN,SINGULAR
quinto	9880,ADJECTIVE,NOUN,SINGULAR
apagar	9795,VERB
bocado	9783,NOUN,SINGULAR
invita	9762,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
lejana	9753,ADJECTIVE
dilema	9715,NOUN,SINGULAR
quemar	9673,VERB
vuelco	9656,NOUN,VERB,SINGULAR
subida	9653,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
frenar	9651,VERB
encaje	9636,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
chispa	9593,NOUN,ADJECTIVE,VERB,3PS,IMP,INFLECTED_FORM,SINGULAR
sentar	9564,VERB
virgen	9557,ADJECTIVE,NOUN,SINGULAR
trazar	9543,VERB
virrey	9511,NOUN,SINGULAR
presta	9483,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
educar	9476,VERB
severa	9360,ADJECTIVE
chiste	9357,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
prever	9344,VERB
criada	9306,NOUN,PARTICIPLE,SINGULAR
faltar	9303,VERB
quinta	9263,NOUN,ADJECTIVE,SINGULAR
cuenco	9220,NOUN,SINGULAR
latina	9198,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
risita	9198,NOUN,SINGULAR
recelo	9170,NOUN,VERB,SINGULAR
lavado	9163,NOUN,PARTICIPLE,SINGULAR
brusco	9149,ADJECTIVE
demora	9121,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
mojado	9120,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
pincel	9118,NOUN,SINGULAR
grabar	9083,VERB
siervo	9051,NOUN,SINGULAR
forzar	9048,VERB
dictar	9035,VERB
online	9026,ADJECTIVE
celoso	9024,ADJECTIVE
chorro	9002,NOUN,SINGULAR
cancha	8985,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
ladera	8908,NOUN,ADJECTIVE,SINGULAR
frasco	8884,NOUN,SINGULAR
canela	8846,NOUN,ADJECTIVE,SINGULAR
filtro	8763,NOUN,VERB,SINGULAR
sonora	8748,ADJECTIVE
vagina	8730,NOUN,SINGULAR
conejo	8728,NOUN,SINGULAR
bebido	8709,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
cubana	8672,NOUN,ADJECTIVE,SINGULAR
morena	8664,NOUN,ADJECTIVE,SINGULAR
ceniza	8640,NOUN,ADJECTIVE,SINGULAR
cheque	8626,NOUN,ADVERB,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
situar	8608,VERB
atenta	8603,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
jersey	8601,NOUN,SINGULAR
serias	8596,ADJECTIVE,VERB
navaja	8581,NOUN,ADJECTIVE,SINGULAR
alcoba	8568,NOUN,SINGULAR
chaval	8560,NOUN,SINGULAR
cuadra	8543,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
obrera	8516,NOUN,ADJECTIVE,SINGULAR
franja	8515,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
quieta	8469,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
tregua	8469,NOUN,SINGULAR
jugado	8459,ADJECTIVE,PARTICIPLE
remota	8414,ADJECTIVE
facial	8357,ADJECTIVE
enigma	8352,NOUN,SINGULAR
tirado	8332,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
orador	8329,NOUN,SINGULAR
huecos	8324,ADJECTIVE,NOUN,PLURAL
rugido	8304,NOUN,PARTICIPLE,SINGULAR
marina	8300,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
rendir	8268,VERB
llover	8261,VERB
manada	8246,NOUN,PARTICIPLE,SINGULAR
dotado	8224,ADJECTIVE,PARTICIPLE
espeso	8218,ADJECTIVE,VERB
cosmos	8213,NOUN,SINGULAR
pelvis	8176,NOUN,SINGULAR
madura	8161,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM
trueno	8146,NOUN,VERB,SINGULAR
lentos	8140,ADJECTIVE
nacida	8134,ADJECTIVE,PARTICIPLE
pescar	8105,VERB
paliza	8073,NOUN,SINGULAR
movido	8054,ADJECTIVE,PARTICIPLE
primas	8049,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
rector	8048,ADJECTIVE,NOUN,SINGULAR
agrado	8017,NOUN,VERB,SINGULAR
racial	7977,ADJECTIVE
mueble	7974,NOUN,SINGULAR
fundar	7955,VERB
molino	7941,NOUN,VERB,SINGULAR
tirano	7937,ADJECTIVE,NOUN,SINGULAR
mojada	7928,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
hilera	7904,NOUN,SINGULAR
cerdos	7873,ADJECTIVE,NOUN,PLURAL
picado	7870,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
fiable	7857,ADJECTIVE
plural	7815,ADJECTIVE,NOUN,SINGULAR
cabida	7812,NOUN,PARTICIPLE,SINGULAR
hervir	7769,VERB
precoz	7746,ADJECTIVE
anular	7738,ADJECTIVE,NOUN,VERB,SINGULAR
corpus	7724,NOUN,SINGULAR
justos	7682,ADJECTIVE
escote	7629,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
asesor	7627,NOUN,SINGULAR
bellas	7626,ADJECTIVE
serena	7625,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
quedas	7597,ADJECTIVE,NOUN,VERB,PLURAL
recreo	7596,NOUN,VERB,SINGULAR
quieto	7585,ADJECTIVE,VERB
zapato	7573,NOUN,SINGULAR
blando	7547,ADJECTIVE,VERB
franca	7527,ADJECTIVE
obrero	7523,ADJECTIVE,NOUN,SINGULAR
usados	7515,ADJECTIVE,PARTICIPLE
praxis	7504,NOUN,SINGULAR
sirena	7489,NOUN,SINGULAR
pereza	7483,NOUN,SINGULAR
butaca	7465,NOUN,SINGULAR
jinete	7428,NOUN,SINGULAR
latino	7420,ADJECTIVE,NOUN,VERB,SINGULAR
charco	7416,NOUN,SINGULAR
latido	7371,NOUN,PARTICIPLE,SINGULAR
sonoro	7349,ADJECTIVE
maduro	7342,ADJECTIVE,NOUN,VERB,SINGULAR
olfato	7339,NOUN,SINGULAR
guante	7330,NOUN,SINGULAR
tirada	7320,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
fervor	7305,NOUN,SINGULAR
correa	7296,NOUN,SINGULAR
aliado	7284,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
rojizo	7223,ADJECTIVE
grasos	7199,ADJECTIVE
blanda	7156,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
suegra	7155,NOUN,SINGULAR
doblar	7147,VERB
chinos	7144,ADJECTIVE,NOUN,PLURAL
vacuna	7138,NOUN,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
campus	7121,NOUN,SINGULAR
empuje	7118,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
estela	7097,NOUN,VERB,3PS,IMP,INFLECTED_FORM,SINGULAR
torneo	7078,NOUN,VERB,SINGULAR
quando	7065,ADVERB,CONJUNCTION
alejar	7053,VERB
lavabo	7031,NOUN,SINGULAR
pleito	6990,NOUN,SINGULAR
fraile	6974,NOUN,SINGULAR
azotea	6971,NOUN,SINGULAR
lancha	6967,NOUN,SINGULAR
causal	6943,ADJECTIVE
hocico	6928,NOUN,VERB,SINGULAR
mentor	6885,NOUN,SINGULAR
tardar	6874,VERB
orales	6860,ADJECTIVE,VERB,IMP,INFLECTED_FORM
masivo	6847,ADJECTIVE
cuenca	6827,NOUN,SINGULAR
machos	6820,ADJECTIVE,NOUN,PLURAL
maleza	6808,NOUN,SINGULAR
cuerno	6791,NOUN,SINGULAR
chocar	6784,VERB
presas	6783,ADJECTIVE,NOUN,PLURAL
grieta	6782,NOUN,SINGULAR
grupal	6779,ADJECTIVE
jugada	6772,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
invito	6737,ADJECTIVE,VERB
metida	6710,ADJECTIVE,PARTICIPLE
tambor	6699,NOUN,SINGULAR
ofensa	6695,NOUN,SINGULAR
venida	6675,NOUN,PARTICIPLE,SINGULAR
viable	6638,ADJECTIVE
paloma	6633,NOUN,ADJECTIVE,SINGULAR
eludir	6632,VERB
anotar	6621,VERB
copiar	6614,VERB
emisor	6607,ADJECTIVE,NOUN,SINGULAR
espina	6604,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
antojo	6590,NOUN,SINGULAR
grosor	6569,NOUN,SINGULAR
vector	6521,NOUN,SINGULAR
remate	6512,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
fritas	6502,ADJECTIVE,PARTICIPLE,NOUN,VERB,PLURAL
cubano	6487,ADJECTIVE,NOUN,SINGULAR
infame	6460,ADJECTIVE,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
repaso	6410,NOUN,VERB,SINGULAR
inciso	6406,ADJECTIVE,NOUN,SINGULAR
cuelga	6399,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
galope	6385,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
postal	6359,ADJECTIVE,NOUN,SINGULAR
celosa	6358,ADJECTIVE
suegro	6351,NOUN,SINGULAR
lujoso	6339,ADJECTIVE
neutro	6324,ADJECTIVE
gentil	6301,ADJECTIVE,NOUN,SINGULAR
elogio	6253,NOUN,VERB,SINGULAR
chofer	6246,NOUN,SINGULAR
recibo	6225,NOUN,VERB,SINGULAR
bajito	6197,ADJECTIVE,ADVERB
habita	6166,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
mediar	6157,VERB
pulsar	6111,VERB
animar	6101,VERB
juntar	6099,VERB
marfil	6096,NOUN,SINGULAR
tarifa	6086,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
ribera	6081,NOUN,ADJECTIVE,SINGULAR
plasma	6071,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
madame	6067,NOUN,SINGULAR
astuto	6064,ADJECTIVE
tanque	6042,NOUN,SINGULAR
asedio	6039,NOUN,VERB,SINGULAR
faceta	6022,NOUN,SINGULAR
dorsal	6021,ADJECTIVE,NOUN,SINGULAR
ciegos	5971,ADJECTIVE,NOUN,PLURAL
mantel	5960,NOUN,SINGULAR
ubicar	5929,VERB
cierro	5911,NOUN,VERB,SINGULAR
atisbo	5907,NOUN,VERB,SINGULAR
huerta	5896,NOUN,SINGULAR
patata	5885,NOUN,INTERJECTION,SINGULAR
sucias	5885,ADJECTIVE
cresta	5868,NOUN,INTERJECTION,SINGULAR
bellos	5848,ADJECTIVE
fallar	5835,VERB
estufa	5824,NOUN,SINGULAR
gusano	5801,NOUN,SINGULAR
irreal	5797,ADJECTIVE
lumbar	5797,ADJECTIVE
flauta	5780,NOUN,SINGULAR
dudoso	5768,ADJECTIVE
menuda	5756,ADJECTIVE
barata	5755,ADJECTIVE,VERB,NOUN,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
corral	5755,NOUN,SINGULAR
brusca	5736,ADJECTIVE
agarre	5715,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
adorno	5697,NOUN,VERB,SINGULAR
esmero	5687,NOUN,VERB,SINGULAR
rienda	5682,NOUN,SINGULAR
dudosa	5667,ADJECTIVE
honrar	5651,VERB
rotura	5632,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
aurora	5624,NOUN,SINGULAR
usadas	5621,ADJECTIVE,PARTICIPLE
creces	5605,NOUN,VERB,SINGULAR
sigilo	5582,NOUN,VERB,SINGULAR
paleta	5574,NOUN,ADJECTIVE,SINGULAR
leales	5571,ADJECTIVE
concha	5566,NOUN,SINGULAR
dignos	5565,ADJECTIVE
gancho	5561,NOUN,SINGULAR
librar	5560,VERB
vibrar	5555,VERB
vereda	5545,NOUN,SINGULAR
jungla	5518,NOUN,SINGULAR
payaso	5503,ADJECTIVE,NOUN,SINGULAR
sucios	5485,ADJECTIVE
afable	5482,ADJECTIVE
alumna	5481,NOUN,SINGULAR
gluten	5477,NOUN,SINGULAR
trecho	5475,NOUN,VERB,SINGULAR
avidez	5472,NOUN,SINGULAR
ocular	5455,ADJECTIVE,NOUN,SINGULAR
medial	5446,ADJECTIVE
rizado	5424,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
bronca	5423,NOUN,ADJECTIVE,SINGULAR
deidad	5405,NOUN,SINGULAR
justas	5405,ADJECTIVE,NOUN,VERB,PLURAL
culpar	5401,VERB
jodido	5378,ADJECTIVE,PARTICIPLE
ciegas	5346,ADJECTIVE,NOUN,VERB,PLURAL
colcha	5335,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
atados	5327,ADJECTIVE,NOUN,PARTICIPLE,PLURAL
acoger	5295,VERB
ciervo	5262,NOUN,SINGULAR
octavo	5233,ADJECTIVE,NOUN,SINGULAR
brotar	5232,VERB
clamor	5229,NOUN,SINGULAR
anemia	5220,NOUN,SINGULAR
hebreo	5194,ADJECTIVE,NOUN,SINGULAR
evocar	5180,VERB
vivida	5155,ADJECTIVE,PARTICIPLE
cocido	5150,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
anchos	5145,ADJECTIVE,NOUN,PLURAL
ballet	5114,NOUN,SINGULAR
fluido	5079,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
cultos	5078,ADJECTIVE,NOUN,PLURAL
febril	5056,ADJECTIVE
rectas	5044,ADJECTIVE,NOUN,PLURAL
casino	5038,NOUN,SINGULAR
cajita	5037,NOUN,SINGULAR
picada	5028,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
relevo	5028,NOUN,VERB,SINGULAR
teclas	5018,ADJECTIVE,NOUN,PLURAL
tender	5012,VERB
motora	5011,NOUN,ADJECTIVE,SINGULAR
fieras	5006,ADJECTIVE,NOUN,PLURAL
anchas	4996,ADJECTIVE,NOUN,VERB,PLURAL
sordos	4991,ADJECTIVE,NOUN,PLURAL
trepar	4988,VERB
germen	4986,NOUN,SINGULAR
quicio	4981,NOUN,SINGULAR
apogeo	4976,NOUN,SINGULAR
atleta	4970,NOUN,SINGULAR
fianza	4911,NOUN,SINGULAR
dobles	4897,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
narrar	4893,VERB
rosado	4888,ADJECTIVE
paraje	4873,NOUN,SINGULAR
acusar	4870,VERB
pelaje	4870,NOUN,SINGULAR
gustar	4832,VERB
carnal	4811,ADJECTIVE,NOUN,SINGULAR
bruces	4801,NOUN,SINGULAR
exento	4784,ADJECTIVE,VERB
innata	4784,ADJECTIVE
salada	4775,ADJECTIVE,PARTICIPLE
marino	4746,ADJECTIVE,NOUN,VERB,SINGULAR
tocino	4743,NOUN,SINGULAR
afines	4733,ADJECTIVE,NOUN,VERB,INFLECTED_FORM,PLURAL,SUBJ
morado	4732,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
gestor	4714,NOUN,SINGULAR
pirata	4704,NOUN,SINGULAR
fulgor	4681,NOUN,SINGULAR
turcos	4680,ADJECTIVE,NOUN,PLURAL
costar	4676,VERB
status	4675,NOUN,SINGULAR
intuir	4666,VERB
adorar	4643,VERB
rodaje	4640,NOUN,SINGULAR
textil	4599,NOUN,ADJECTIVE,SINGULAR
vejiga	4582,NOUN,SINGULAR
brinco	4580,NOUN,VERB,SINGULAR
penoso	4578,ADJECTIVE
triple	4573,ADJECTIVE,NOUN,SINGULAR
ojeada	4562,NOUN,PARTICIPLE,SINGULAR
resaca	4555,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
franco	4549,NOUN,ADJECTIVE,SINGULAR
enzima	4534,NOUN,SINGULAR
dental	4528,ADJECTIVE
manojo	4527,NOUN,SINGULAR
sobrio	4505,ADJECTIVE
decoro	4498,NOUN,VERB,SINGULAR
rodear	4497,VERB
trofeo	4495,NOUN,SINGULAR
laurel	4493,NOUN,SINGULAR
inerte	4491,ADJECTIVE
preste	4490,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
feudal	4485,ADJECTIVE
apelar	4481,VERB
azufre	4477,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
flotar	4472,VERB
tontos	4469,ADJECTIVE,NOUN,PLURAL
genoma	4461,NOUN,SINGULAR
meseta	4460,NOUN,SINGULAR
coleta	4459,NOUN,SINGULAR
barril	4452,NOUN,SINGULAR
bajada	4449,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
adicto	4443,ADJECTIVE,NOUN,SINGULAR
futbol	4438,NOUN,SINGULAR
bufete	4436,NOUN,SINGULAR
aduana	4433,NOUN,SINGULAR
vaciar	4422,VERB
oyente	4421,ADJECTIVE,NOUN,SINGULAR
morder	4393,VERB
vistos	4389,ADJECTIVE,PARTICIPLE
recado	4379,NOUN,VERB,SINGULAR
agudas	4357,ADJECTIVE
retina	4352,NOUN,SINGULAR
sonado	4351,ADJECTIVE,PARTICIPLE
escoba	4350,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
milord	4337,NOUN,SINGULAR
tracto	4332,NOUN,SINGULAR
motriz	4301,ADJECTIVE
fluida	4296,ADJECTIVE,PARTICIPLE
oleaje	4278,NOUN,SINGULAR
dotada	4262,ADJECTIVE,PARTICIPLE
antena	4259,NOUN,SINGULAR
guiada	4257,ADJECTIVE,PARTICIPLE
caseta	4244,NOUN,SINGULAR
opinar	4243,VERB
rosada	4229,NOUN,ADJECTIVE,SINGULAR
gremio	4216,NOUN,SINGULAR
coraza	4213,NOUN,SINGULAR
saqueo	4210,NOUN,VERB,SINGULAR
oponer	4195,VERB
inmune	4182,ADJECTIVE
lumbre	4154,NOUN,SINGULAR
casera	4153,NOUN,ADJECTIVE,SINGULAR
hundir	4153,VERB
acopio	4140,NOUN,VERB,SINGULAR
fogata	4139,NOUN,SINGULAR
cuervo	4122,NOUN,SINGULAR
violar	4119,VERB
carril	4117,NOUN,SINGULAR
billar	4114,NOUN,SINGULAR
atadas	4096,ADJECTIVE,PARTICIPLE
casona	4096,NOUN,SINGULAR
pliego	4093,NOUN,VERB,SINGULAR
flanco	4092,NOUN,SINGULAR
pollos	4089,ADJECTIVE,NOUN,PLURAL
cobijo	4084,NOUN,VERB,SINGULAR
codazo	4082,NOUN,SINGULAR
penosa	4080,ADJECTIVE
reparo	4056,NOUN,VERB,SINGULAR
acecho	4043,NOUN,VERB,SINGULAR
estafa	4043,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
convoy	4028,NOUN,SINGULAR
viudas	4028,ADJECTIVE,NOUN,PLURAL
dignas	4022,ADJECTIVE,VERB
dolida	4017,NOUN,ADJECTIVE,PARTICIPLE,SINGULAR
ahogar	4016,VERB
califa	4010,NOUN,SINGULAR
guiado	4004,ADJECTIVE,PARTICIPLE
distal	4002,ADJECTIVE
acidez	4000,NOUN,SINGULAR
liebre	3994,NOUN,SINGULAR
litera	3994,NOUN,SINGULAR
tarima	3973,NOUN,SINGULAR
torpes	3961,ADJECTIVE,NOUN,PLURAL
valido	3959,ADJECTIVE,NOUN,PARTICIPLE,VERB,INFLECTED_FORM,PAST_PART,SINGULAR
envase	3947,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
hostia	3935,NOUN,INTERJECTION,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
jovial	3929,ADJECTIVE
hostal	3908,NOUN,SINGULAR
mucosa	3899,NOUN,ADJECTIVE,SINGULAR
radial	3898,ADJECTIVE,NOUN,SINGULAR
partos	3896,ADJECTIVE,NOUN,PLURAL
trenza	3889,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
comino	3881,NOUN,SINGULAR
lujosa	3878,ADJECTIVE
aplomo	3866,NOUN,VERB,SINGULAR
abusar	3864,VERB
cereal	3843,NOUN,SINGULAR
ratito	3843,NOUN,SINGULAR
alarde	3842,NOUN,SINGULAR
recaer	3830,VERB
finito	3824,ADJECTIVE
aislar	3807,VERB
difusa	3798,ADJECTIVE
cebada	3791,NOUN,PARTICIPLE,SINGULAR
repisa	3789,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
mantra	3781,NOUN,SINGULAR
salado	3767,ADJECTIVE,PARTICIPLE
elenco	3763,NOUN,SINGULAR
obvias	3763,ADJECTIVE,VERB
carita	3761,NOUN,SINGULAR
tensos	3745,ADJECTIVE
psique	3736,NOUN,SINGULAR
salita	3735,NOUN,SINGULAR
trineo	3733,NOUN,SINGULAR
misiva	3729,NOUN,ADJECTIVE,SINGULAR
rojiza	3729,ADJECTIVE
aqueos	3710,ADJECTIVE,NOUN,PLURAL
duchas	3706,ADJECTIVE,NOUN,VERB,PLURAL
cohete	3705,NOUN,SINGULAR
follar	3704,VERB
rabino	3703,NOUN,SINGULAR
crujir	3692,VERB
editar	3692,VERB
agudos	3664,ADJECTIVE
gemelo	3662,ADJECTIVE,NOUN,SINGULAR
presto	3648,ADJECTIVE,ADVERB,VERB
hamaca	3643,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR
decena	3642,NOUN,ADJECTIVE,SINGULAR
paliar	3638,VERB
sesgos	3628,ADJECTIVE,NOUN,PLURAL
forjar	3624,VERB
castas	3615,ADJECTIVE,NOUN,PLURAL
nativa	3615,NOUN,ADJECTIVE,SINGULAR
alteza	3612,NOUN,SINGULAR
reinar	3608,VERB
ovillo	3607,NOUN,VERB,SINGULAR
saciar	3605,VERB
asomar	3597,VERB
cometa	3594,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
sastre	3592,NOUN,SINGULAR
minera	3586,NOUN,ADJECTIVE,SINGULAR
visado	3586,NOUN,PARTICIPLE,SINGULAR
jarabe	3578,NOUN,SINGULAR
cajero	3576,NOUN,SINGULAR
aludir	3570,VERB
extras	3544,ADJECTIVE,NOUN,PLURAL
broche	3537,NOUN,SINGULAR
abonar	3518,VERB
fijeza	3506,NOUN,SINGULAR
jodida	3500,ADJECTIVE,PARTICIPLE
verter	3495,VERB
alegar	3490,VERB
tetera	3481,NOUN,SINGULAR
tropel	3471,NOUN,SINGULAR
prisma	3451,NOUN,SINGULAR
parche	3448,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
miente	3435,NOUN,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SINGULAR,SUBJ
romero	3432,ADJECTIVE,NOUN,SINGULAR
fascia	3424,NOUN,SINGULAR
pronta	3424,ADJECTIVE
molido	3423,ADJECTIVE,NOUN,PARTICIPLE,SINGULAR
persas	3419,ADJECTIVE,NOUN,PLURAL
barniz	3390,NOUN,SINGULAR
chinas	3388,ADJECTIVE,NOUN,PLURAL
varita	3388,NOUN,SINGULAR
vengar	3386,VERB
difuso	3382,ADJECTIVE
